idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
2986;3747;02/11/2020;false;2;36;2;1;3;9.01E+16;francisco ascasubi y manuel quiroga, copiadora;Ninguna
2979;3740;02/11/2020;false;2;36;2;1;3;9.01E+15;francisco ascasubi, comercial eden;Se niegan a llenar la encuesta
2977;3738;02/11/2020;false;2;36;2;1;3;9.01E+16;av de las americas y francisco ascasubi, el mercurio clasificado;Ninguna
2976;3737;02/11/2020;false;2;36;2;1;3;9.01E+16;francisco ascasubi y jose riofrio;Ninguna
2958;3718;02/12/2020;false;1;30;1;1;3;2.02E+16;actuality travel, astrid flor;Se niegan a llenar la encuesta
3004;3765;02/11/2020;false;2;14;2;1;3;9.01E+16;"dos de agosto y pedro vicente maldonado, esquina, ""cetad"" centro de adicciones";Ninguna
3005;3766;02/03/2020;false;1;1;1;1;3;2.02E+16;antonio borrero 10-91;Ninguna
3006;3767;02/03/2020;false;1;1;1;1;3;2.02E+16;antonio borrero 10-99;Ninguna
3007;3768;02/11/2020;false;2;14;2;1;4;9.01E+16;taller de hojalateria de jose chima, av ricardo duran, camino ba«ü∂Òos;Ninguna
3008;3769;02/03/2020;false;1;1;1;1;3;2.02E+16;jose lamar 07-77;Ninguna
3009;3770;02/03/2020;false;1;1;1;1;3;2.02E+16;jose lamar 7-55;El horario de atencion no coincide con el horario del barrido
3010;3771;02/11/2020;false;2;14;2;1;4;9.01E+16;av americas jessica peluqueria;Ninguna
3011;3772;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero 10-58 la colmena;El horario de atencion no coincide con el horario del barrido
3012;3773;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero  marcos sports 10-49;Ninguna
3014;3775;02/03/2020;false;1;1;1;1;3;2.02E+16;sangurima 7-53 sertesa;Ninguna
3015;3776;02/03/2020;false;1;1;1;1;4;2.02E+16;gaspar sangurima 7-25 encebollados coste«ü∂Òos;Se niegan a llenar la encuesta
3017;3778;02/03/2020;false;1;1;1;1;3;2.02E+16;presidente borrero 11-75 marces fashion;Ninguna
3018;3779;02/03/2020;false;1;1;1;1;3;2.02E+16;antonio borrero;Ninguna
3020;3781;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero 12-88 y sangurima 12-84;Ninguna
3021;3782;02/03/2020;false;1;1;1;1;3;2.02E+16;gaspar sangurima 7-41;Ninguna
3023;3784;02/11/2020;false;2;14;2;1;4;9.01E+16;canton quero y av americas esquina, restaurante pollos;Ninguna
3025;3786;02/03/2020;false;1;1;1;1;3;2.02E+16;presidente borrero 11-21;Se niegan a llenar la encuesta
3026;3787;02/03/2020;false;1;1;1;1;4;2.02E+16;presidente borrero y mariscal lamar;Ninguna
3027;3788;02/03/2020;false;1;1;1;1;3;2.02E+16;mariscal lamar 7-48;Ninguna
3028;3789;02/03/2020;false;1;1;1;1;3;2.02E+16;mariscal lamar, pepople botique 7-72;Ninguna
3029;3790;02/03/2020;false;1;1;1;1;4;2.02E+16;luis cordero 11-04 y lamar ;Ninguna
3030;3791;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero 11-30;Ninguna
3031;3792;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero y vega mu«ü∂Òoz 12-98;Ninguna
3032;3793;02/03/2020;false;1;1;1;1;4;2.02E+16;vega mu«ü∂Òoz y luis cordero, local de ropa de segunda mano s/n 7-67;Ninguna
3033;3794;02/03/2020;false;1;1;1;1;4;2.02E+16;presidente borrero y vega mu«ü∂Òoz 12-63;Ninguna
3035;3796;02/10/2020;false;2;17;2;1;3;7.05E+16;Urbanisacion Los Cerezos EMUVI;Otra
3036;3797;03/03/2020;false;2;7;2;1;2;8.01E+16;Casa ubicada en la calle Tarquino Martinez Borrero;Ninguna
3037;3798;02/10/2020;false;2;17;2;1;19;7.05E+16;Lote vacio en la calle limas ;El predio no esta en funcionamiento
3038;3799;02/10/2020;false;2;17;2;1;19;7.05E+16;Lote vacio;El predio no esta en funcionamiento
3039;3800;02/03/2020;false;1;1;1;1;3;1.02E+16;padre aguirre;Otra
3040;3801;02/03/2020;false;1;1;1;1;3;1.02E+16;Gran Colombia, frente a la iglesia de Santo domingo;Ninguna
3041;3802;02/04/2020;false;2;7;2;1;19;6.01E+16;calle aristoteles;El predio no esta en funcionamiento
3042;3803;02/04/2020;false;2;7;2;1;19;6.01E+16;calle pucara;El predio no esta en funcionamiento
3043;3804;02/03/2020;false;1;1;1;1;3;1.02E+16;General Torres  (Gran Hotel);Otra
3044;3805;02/04/2020;false;2;7;2;1;19;6.01E+16;calle aristoteles;El predio no esta en funcionamiento
4854;6014;02/04/2020;false;3;31;3;1;4;5.02E+16;;El horario de atencion no coincide con el horario del barrido
3045;3806;02/04/2020;false;2;7;2;1;19;6.01E+16;abelardo j andrade y jose de cardenas;El predio no esta en funcionamiento
4860;6021;02/04/2020;false;3;31;3;1;4;5.02E+16;;El horario de atencion no coincide con el horario del barrido
